,animal_id,day,transition,prob,source,replicate_num
127,gy6or6,2012-03-24,"('e', 'e')",0.5,model,5.0
128,gy6or6,2012-03-24,"('e', 'e')",0.5002411963338157,model,6.0
129,gy6or6,2012-03-24,"('e', 'e')",0.5,model,7.0
130,gy6or6,2012-03-24,"('e', 'e')",0.5,model,8.0
131,gy6or6,2012-03-24,"('e', 'e')",0.49975857073877356,model,9.0
132,gy6or6,2012-03-26,"('e', 'e')",0.5,ground_truth,
133,gy6or6,2012-03-26,"('e', 'e')",0.5,model,0.0
134,gy6or6,2012-03-26,"('e', 'e')",0.5,model,1.0
135,gy6or6,2012-03-26,"('e', 'e')",0.5,model,2.0
136,gy6or6,2012-03-26,"('e', 'e')",0.5,model,3.0
137,gy6or6,2012-03-26,"('e', 'e')",0.5012406947890818,model,4.0
138,gy6or6,2012-03-26,"('e', 'e')",0.5012406947890818,model,5.0
139,gy6or6,2012-03-26,"('e', 'e')",0.5,model,6.0
140,gy6or6,2012-03-26,"('e', 'e')",0.5,model,7.0
141,gy6or6,2012-03-26,"('e', 'e')",0.5012406947890818,model,8.0
142,gy6or6,2012-03-26,"('e', 'e')",0.5012406947890818,model,9.0
143,gy6or6,2012-03-23,"('e', 'f')",0.4996729888816219,ground_truth,
144,gy6or6,2012-03-23,"('e', 'f')",0.5003265839320705,model,0.0
145,gy6or6,2012-03-23,"('e', 'f')",0.5003265839320705,model,1.0
146,gy6or6,2012-03-23,"('e', 'f')",0.5006535947712418,model,2.0
147,gy6or6,2012-03-23,"('e', 'f')",0.5,model,3.0
148,gy6or6,2012-03-23,"('e', 'f')",0.5,model,4.0
149,gy6or6,2012-03-23,"('e', 'f')",0.49967384213959554,model,5.0
150,gy6or6,2012-03-23,"('e', 'f')",0.5003265839320705,model,6.0
151,gy6or6,2012-03-23,"('e', 'f')",0.49967384213959554,model,7.0
152,gy6or6,2012-03-23,"('e', 'f')",0.5,model,8.0
153,gy6or6,2012-03-23,"('e', 'f')",0.5,model,9.0
154,gy6or6,2012-03-24,"('e', 'f')",0.5,ground_truth,
155,gy6or6,2012-03-24,"('e', 'f')",0.5,model,0.0
156,gy6or6,2012-03-24,"('e', 'f')",0.5,model,1.0
157,gy6or6,2012-03-24,"('e', 'f')",0.49951783992285437,model,2.0
158,gy6or6,2012-03-24,"('e', 'f')",0.49975880366618425,model,3.0
159,gy6or6,2012-03-24,"('e', 'f')",0.49975880366618425,model,4.0
160,gy6or6,2012-03-24,"('e', 'f')",0.5,model,5.0
161,gy6or6,2012-03-24,"('e', 'f')",0.49975880366618425,model,6.0
162,gy6or6,2012-03-24,"('e', 'f')",0.5,model,7.0
163,gy6or6,2012-03-24,"('e', 'f')",0.5,model,8.0
164,gy6or6,2012-03-24,"('e', 'f')",0.5002414292612265,model,9.0
165,gy6or6,2012-03-26,"('e', 'f')",0.5,ground_truth,
166,gy6or6,2012-03-26,"('e', 'f')",0.5,model,0.0
167,gy6or6,2012-03-26,"('e', 'f')",0.5,model,1.0
168,gy6or6,2012-03-26,"('e', 'f')",0.5,model,2.0
169,gy6or6,2012-03-26,"('e', 'f')",0.5,model,3.0
170,gy6or6,2012-03-26,"('e', 'f')",0.4987593052109181,model,4.0
171,gy6or6,2012-03-26,"('e', 'f')",0.4987593052109181,model,5.0
172,gy6or6,2012-03-26,"('e', 'f')",0.5,model,6.0
173,gy6or6,2012-03-26,"('e', 'f')",0.5,model,7.0
174,gy6or6,2012-03-26,"('e', 'f')",0.49627791563275436,model,8.0
175,gy6or6,2012-03-26,"('e', 'f')",0.4987593052109181,model,9.0
176,or60yw70,2012-09-27,"('d', 'e')",0.6369294605809128,ground_truth,
177,or60yw70,2012-09-27,"('d', 'e')",0.6382536382536382,model,0.0
178,or60yw70,2012-09-27,"('d', 'e')",0.6348547717842323,model,1.0
179,or60yw70,2012-09-27,"('d', 'e')",0.6395833333333333,model,2.0
180,or60yw70,2012-09-27,"('d', 'e')",0.6403326403326404,model,3.0
181,or60yw70,2012-09-27,"('d', 'e')",0.6361746361746362,model,4.0
182,or60yw70,2012-09-27,"('d', 'e')",0.6356107660455487,model,5.0
183,or60yw70,2012-09-27,"('d', 'e')",0.6348547717842323,model,6.0
184,or60yw70,2012-09-27,"('d', 'e')",0.6348547717842323,model,7.0
185,or60yw70,2012-09-27,"('d', 'e')",0.6382536382536382,model,8.0
186,or60yw70,2012-09-27,"('d', 'e')",0.6395833333333334,model,9.0
187,or60yw70,2012-09-29,"('d', 'e')",0.6357827476038339,ground_truth,
188,or60yw70,2012-09-29,"('d', 'e')",0.6378205128205128,model,0.0
189,or60yw70,2012-09-29,"('d', 'e')",0.6357827476038339,model,1.0
190,or60yw70,2012-09-29,"('d', 'e')",0.6368,model,2.0
191,or60yw70,2012-09-29,"('d', 'e')",0.6378205128205128,model,3.0
192,or60yw70,2012-09-29,"('d', 'e')",0.6368,model,4.0
193,or60yw70,2012-09-29,"('d', 'e')",0.6357827476038339,model,5.0
194,or60yw70,2012-09-29,"('d', 'e')",0.6368,model,6.0
195,or60yw70,2012-09-29,"('d', 'e')",0.6357827476038338,model,7.0
196,or60yw70,2012-09-29,"('d', 'e')",0.6378205128205129,model,8.0
197,or60yw70,2012-09-29,"('d', 'e')",0.6368,model,9.0
198,or60yw70,2012-09-30,"('d', 'e')",0.6395833333333333,ground_truth,
199,or60yw70,2012-09-30,"('d', 'e')",0.6409185803757829,model,0.0
200,or60yw70,2012-09-30,"('d', 'e')",0.6395833333333333,model,1.0
201,or60yw70,2012-09-30,"('d', 'e')",0.6395833333333333,model,2.0
202,or60yw70,2012-09-30,"('d', 'e')",0.6401673640167364,model,3.0
203,or60yw70,2012-09-30,"('d', 'e')",0.6409185803757829,model,4.0
204,or60yw70,2012-09-30,"('d', 'e')",0.6395833333333333,model,5.0
205,or60yw70,2012-09-30,"('d', 'e')",0.6388308977035491,model,6.0
206,or60yw70,2012-09-30,"('d', 'e')",0.6395833333333333,model,7.0
207,or60yw70,2012-09-30,"('d', 'e')",0.6395833333333334,model,8.0
208,or60yw70,2012-09-30,"('d', 'e')",0.6375000000000001,model,9.0
209,or60yw70,2012-09-27,"('d', 'g')",0.36099585062240663,ground_truth,
210,or60yw70,2012-09-27,"('d', 'g')",0.3575883575883576,model,0.0
211,or60yw70,2012-09-27,"('d', 'g')",0.35892116182572614,model,1.0
212,or60yw70,2012-09-27,"('d', 'g')",0.36041666666666666,model,2.0
213,or60yw70,2012-09-27,"('d', 'g')",0.35135135135135137,model,3.0
214,or60yw70,2012-09-27,"('d', 'g')",0.35550935550935553,model,4.0
215,or60yw70,2012-09-27,"('d', 'g')",0.35610766045548653,model,5.0
216,or60yw70,2012-09-27,"('d', 'g')",0.35477178423236516,model,6.0
217,or60yw70,2012-09-27,"('d', 'g')",0.36099585062240663,model,7.0
218,or60yw70,2012-09-27,"('d', 'g')",0.35550935550935553,model,8.0
219,or60yw70,2012-09-27,"('d', 'g')",0.3583333333333334,model,9.0
220,or60yw70,2012-09-29,"('d', 'g')",0.36421725239616615,ground_truth,
221,or60yw70,2012-09-29,"('d', 'g')",0.36217948717948717,model,0.0
222,or60yw70,2012-09-29,"('d', 'g')",0.36421725239616615,model,1.0
223,or60yw70,2012-09-29,"('d', 'g')",0.36319999999999997,model,2.0
224,or60yw70,2012-09-29,"('d', 'g')",0.36217948717948717,model,3.0
225,or60yw70,2012-09-29,"('d', 'g')",0.3632000000000001,model,4.0
226,or60yw70,2012-09-29,"('d', 'g')",0.36421725239616615,model,5.0
227,or60yw70,2012-09-29,"('d', 'g')",0.3632000000000001,model,6.0
228,or60yw70,2012-09-29,"('d', 'g')",0.36421725239616615,model,7.0
229,or60yw70,2012-09-29,"('d', 'g')",0.3621794871794872,model,8.0
230,or60yw70,2012-09-29,"('d', 'g')",0.36319999999999997,model,9.0
231,or60yw70,2012-09-30,"('d', 'g')",0.36041666666666666,ground_truth,
232,or60yw70,2012-09-30,"('d', 'g')",0.3569937369519833,model,0.0
233,or60yw70,2012-09-30,"('d', 'g')",0.36041666666666666,model,1.0
234,or60yw70,2012-09-30,"('d', 'g')",0.36041666666666666,model,2.0
235,or60yw70,2012-09-30,"('d', 'g')",0.35355648535564854,model,3.0
236,or60yw70,2012-09-30,"('d', 'g')",0.35908141962421714,model,4.0
237,or60yw70,2012-09-30,"('d', 'g')",0.36041666666666666,model,5.0
238,or60yw70,2012-09-30,"('d', 'g')",0.35490605427974947,model,6.0
239,or60yw70,2012-09-30,"('d', 'g')",0.36041666666666666,model,7.0
240,or60yw70,2012-09-30,"('d', 'g')",0.3520833333333334,model,8.0
241,or60yw70,2012-09-30,"('d', 'g')",0.3583333333333334,model,9.0
