cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9800843904652773,2.902439024390244,0.6981622413071853,0.06283689526333913,75,6,TweetyNet,1.9915609534722711,Bird0,2
min_segment_dur,0.9789239647152734,6.048780487804878,0.6691709868617356,0.10517330381143387,75,6,TweetyNet,2.107603528472657,Bird0,2
min_segment_dur_majority_vote,0.980749713854032,1.0731707317073171,0.73492572381326,0.020271534544647085,75,6,TweetyNet,1.925028614596802,Bird0,2
none,0.9782324974297468,8.048780487804878,0.6343129007707619,0.15184956512407416,75,6,TweetyNet,2.176750257025317,Bird0,2
majority_vote,0.9801874665014784,2.3902439024390243,0.6844702332104279,0.05403653951768586,75,7,TweetyNet,1.9812533498521634,Bird0,2
min_segment_dur,0.9791057000908143,5.073170731707317,0.6394197488211536,0.09635029654792077,75,7,TweetyNet,2.0894299909185676,Bird0,2
min_segment_dur_majority_vote,0.9806126497264473,1.1219512195121952,0.7074874189942216,0.02139646619537132,75,7,TweetyNet,1.938735027355265,Bird0,2
none,0.978687696648178,6.487804878048781,0.6209843314009819,0.13104368033164313,75,7,TweetyNet,2.1312303351821993,Bird0,2
majority_vote,0.9785565267598081,2.8536585365853657,0.66244235687946,0.06650202479750413,75,8,TweetyNet,2.1443473240191913,Bird0,2
min_segment_dur,0.9780359068419049,5.585365853658536,0.6359708881123343,0.10896014670406579,75,8,TweetyNet,2.196409315809511,Bird0,2
min_segment_dur_majority_vote,0.9797109289226195,1.1951219512195121,0.7112568628769895,0.02500253926496362,75,8,TweetyNet,2.028907107738054,Bird0,2
none,0.9768815046790937,7.365853658536586,0.5987572271873569,0.15217920525754314,75,8,TweetyNet,2.3118495320906263,Bird0,2
majority_vote,0.9758065209444917,3.073170731707317,0.6191207598947474,0.06652265138812881,75,9,TweetyNet,2.4193479055508282,Bird0,2
min_segment_dur,0.975173568403081,7.829268292682927,0.5942806857904994,0.1600561765491037,75,9,TweetyNet,2.4826431596918996,Bird0,2
min_segment_dur_majority_vote,0.9765658689206465,1.7073170731707317,0.6499527097623452,0.032313375045201966,75,9,TweetyNet,2.343413107935355,Bird0,2
none,0.9744142204269262,9.609756097560975,0.568198792241469,0.20249639804187303,75,9,TweetyNet,2.558577957307384,Bird0,2
majority_vote,0.9819597007621246,2.341463414634146,0.7521451859437392,0.05145895592198652,75,10,TweetyNet,1.8040299237875423,Bird0,2
min_segment_dur,0.9806315349633369,5.682926829268292,0.6971965825754614,0.10477832339371294,75,10,TweetyNet,1.9368465036663118,Bird0,2
min_segment_dur_majority_vote,0.9827250384393835,0.8780487804878049,0.7937794101746202,0.015710512399882408,75,10,TweetyNet,1.7274961560616475,Bird0,2
none,0.9798661972860782,7.2439024390243905,0.6652266136793351,0.14218686892056379,75,10,TweetyNet,2.0133802713921845,Bird0,2
majority_vote,0.9803331291798971,2.4146341463414633,0.7226715012893509,0.05388990466541258,120,1,TweetyNet,1.9666870820102877,Bird0,3
min_segment_dur,0.9805143322112333,4.487804878048781,0.7196589957215939,0.08127445601795505,120,1,TweetyNet,1.9485667788766703,Bird0,3
min_segment_dur_majority_vote,0.9812649355380849,0.9024390243902439,0.7713681534117163,0.01715397643483802,120,1,TweetyNet,1.8735064461915085,Bird0,3
none,0.9795799019060755,6.097560975609756,0.6784252100372771,0.11914290555331203,120,1,TweetyNet,2.0420098093924532,Bird0,3
majority_vote,0.9812720933276047,2.268292682926829,0.7421107373211673,0.05247898470496446,120,2,TweetyNet,1.8727906672395322,Bird0,3
min_segment_dur,0.9806178542831778,4.560975609756097,0.7010783998128374,0.0895589084794666,120,2,TweetyNet,1.9382145716822174,Bird0,3
min_segment_dur_majority_vote,0.9819291439127115,0.8048780487804879,0.7733133876312495,0.01657042790448194,120,2,TweetyNet,1.8070856087288534,Bird0,3
none,0.9799349876128959,6.2439024390243905,0.6742634054734948,0.12969185324975072,120,2,TweetyNet,2.006501238710412,Bird0,3
majority_vote,0.9795678692233297,2.8536585365853657,0.6684825618074908,0.06274023842588783,120,3,TweetyNet,2.0432130776670276,Bird0,3
min_segment_dur,0.9786086186660443,5.024390243902439,0.6439885721782302,0.08931890048663473,120,3,TweetyNet,2.1391381333955684,Bird0,3
min_segment_dur_majority_vote,0.9801677664341175,1.1219512195121952,0.6990404637192859,0.022549642872068797,120,3,TweetyNet,1.9832233565882484,Bird0,3
none,0.9780087214552569,6.878048780487805,0.6191255906680456,0.1312231222839066,120,3,TweetyNet,2.1991278544743142,Bird0,3
majority_vote,0.9796492102337135,2.707317073170732,0.6669356847929571,0.06147354933412599,120,4,TweetyNet,2.035078976628646,Bird0,3
min_segment_dur,0.9796934266494738,5.853658536585366,0.668193438177773,0.1007516068019311,120,4,TweetyNet,2.0306573350526214,Bird0,3
min_segment_dur_majority_vote,0.9806838164591742,1.170731707317073,0.7085691518940839,0.025282687340290162,120,4,TweetyNet,1.931618354082576,Bird0,3
none,0.9786588204240131,7.634146341463414,0.6292947049790603,0.14200910855664492,120,4,TweetyNet,2.1341179575986913,Bird0,3
