,cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind,species
298,min_segment_dur_majority_vote,0.9782635702382694,0.7368421052631579,0.7882865164097613,1.3020090741419301,75,5,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_5/StandardizeSpect,0.02,2.1736429761730625,Bird4,2,Bengalese Finch
299,none,0.9769897781412004,6.184210526315789,0.7364652395122792,9.848012066868469,75,5,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_5/StandardizeSpect,0.02,2.301022185879953,Bird4,2,Bengalese Finch
302,min_segment_dur_majority_vote,0.978530554140441,0.5263157894736842,0.7917495818744014,0.9671672169265901,75,6,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_6/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_6/StandardizeSpect,0.02,2.146944585955901,Bird4,2,Bengalese Finch
303,none,0.9761943997239668,7.131578947368421,0.7028596560394123,11.38142817163137,75,6,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_6/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_6/StandardizeSpect,0.02,2.3805600276033068,Bird4,2,Bengalese Finch
306,min_segment_dur_majority_vote,0.978176821180969,0.6052631578947368,0.77920997457921,1.13663320247855,75,7,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_7/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_7/StandardizeSpect,0.02,2.1823178819030957,Bird4,2,Bengalese Finch
307,none,0.9759255596662408,5.947368421052632,0.6981136197556645,9.49590872631366,75,7,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_7/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_7/StandardizeSpect,0.02,2.407444033375916,Bird4,2,Bengalese Finch
310,min_segment_dur_majority_vote,0.9783791966881296,0.5526315789473685,0.7999786609759297,0.89307800992017,75,8,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_8/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_8/StandardizeSpect,0.02,2.162080331187044,Bird4,2,Bengalese Finch
311,none,0.9771700807226116,5.052631578947368,0.7487213925661961,7.66666033018053,75,8,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_8/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_8/StandardizeSpect,0.02,2.282991927738842,Bird4,2,Bengalese Finch
314,min_segment_dur_majority_vote,0.9775950826278816,0.7894736842105263,0.7535494636674468,1.3543519829045498,75,9,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_9/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_9/StandardizeSpect,0.02,2.240491737211847,Bird4,2,Bengalese Finch
315,none,0.9762689248862852,6.131578947368421,0.6950216999673561,9.67360056231432,75,9,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_9/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_9/StandardizeSpect,0.02,2.373107511371475,Bird4,2,Bengalese Finch
