cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,day,train_set_dur_ind
min_segment_dur,0.985329847317518,4.738095238095238,0.6418842865987384,0.05348768834301244,600,10,TweetyNet,1.4670152682481952,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9858568123067508,1.9523809523809523,0.6697929418677223,0.02585239143187038,600,10,TweetyNet,1.4143187693249182,bl26lb16,2012-04-21,0
none,0.985226061435958,9.80952380952381,0.6263071861430515,0.12884887236845954,600,10,TweetyNet,1.4773938564041966,bl26lb16,2012-04-21,0
majority_vote,0.9813364596515548,3.3333333333333335,0.548098423225369,0.07910887826816461,600,1,TweetyNet,1.8663540348445196,gr41rd51,2012-06-20,0
min_segment_dur,0.9815043023696632,7.666666666666667,0.5269676945994752,0.16686506192924716,600,1,TweetyNet,1.849569763033676,gr41rd51,2012-06-20,0
min_segment_dur_majority_vote,0.9816773679798199,1.6851851851851851,0.5657757870268908,0.03822850110392168,600,1,TweetyNet,1.832263202018014,gr41rd51,2012-06-20,0
none,0.9811685318844526,9.5,0.5112349998439174,0.21359278852088698,600,1,TweetyNet,1.8831468115547367,gr41rd51,2012-06-20,0
majority_vote,0.9841051100801995,2.8518518518518516,0.6167487192983734,0.07147460695043084,600,2,TweetyNet,1.5894889919800481,gr41rd51,2012-06-20,0
min_segment_dur,0.9846070336720494,6.777777777777778,0.6332814253053435,0.14959606962364785,600,2,TweetyNet,1.539296632795062,gr41rd51,2012-06-20,0
min_segment_dur_majority_vote,0.9845359498743268,1.1666666666666667,0.6419487125009683,0.026113245886443353,600,2,TweetyNet,1.54640501256732,gr41rd51,2012-06-20,0
none,0.9841761938779221,8.685185185185185,0.608172091443258,0.20016849997879108,600,2,TweetyNet,1.58238061220779,gr41rd51,2012-06-20,0
majority_vote,0.9836958026505138,2.9444444444444446,0.6187542691305029,0.0738730159285449,600,3,TweetyNet,1.6304197349486182,gr41rd51,2012-06-20,0
