cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind,hyperparam_expt,hyperparam_val,species
min_segment_dur_majority_vote,0.9776173361598692,1.3902439024390243,0.6811462075986952,2.49541727565032,120,5,TweetyNet,2.238266384013088,Bird0,3,hidden_size,16,Bengalese Finch
none,0.9718005978654396,16.170731707317074,0.5249491951587634,28.26946612976559,120,5,TweetyNet,2.8199402134560514,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.9778400813615288,1.902439024390244,0.6605957820207102,3.87905749289974,120,6,TweetyNet,2.215991863847122,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.9750955529623282,10.24390243902439,0.575400855803088,18.88667332128631,120,6,TweetyNet,2.4904447037671806,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9781037876890742,1.2926829268292683,0.6709369873257373,2.6578404904627098,120,6,TweetyNet,2.189621231092576,Bird0,3,hidden_size,16,Bengalese Finch
none,0.9748373411704668,11.048780487804878,0.5685543112990954,20.38847764041932,120,6,TweetyNet,2.516265882953317,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.9804904548362838,2.365853658536585,0.7053656625503324,5.11636313460209,120,7,TweetyNet,1.9509545163716169,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.9767712805642742,13.292682926829269,0.5906008414187428,24.4838731684011,120,7,TweetyNet,2.32287194357258,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9809510430675018,1.024390243902439,0.7305057737720827,1.93126657356503,120,7,TweetyNet,1.90489569324982,Bird0,3,hidden_size,16,Bengalese Finch
none,0.9762987038452392,14.78048780487805,0.5718286710470015,27.9059227066483,120,7,TweetyNet,2.37012961547608,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.977026124508673,2.609756097560976,0.6374938415680745,5.94694515516609,120,8,TweetyNet,2.297387549132701,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.9746400303203724,11.902439024390244,0.5439517597246185,23.3780546199606,120,8,TweetyNet,2.5359969679627725,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9776850720811856,1.2439024390243902,0.6608326818113675,2.77468576756884,120,8,TweetyNet,2.231492791881451,Bird0,3,hidden_size,16,Bengalese Finch
none,0.973995148362331,13.585365853658535,0.5289752110052717,27.11921592976671,120,8,TweetyNet,2.600485163766897,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.9773833142229988,1.6341463414634143,0.6541778741641929,3.1625031190532304,120,9,TweetyNet,2.261668577700126,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.973954809159754,11.804878048780488,0.5521441792140528,23.11674537842507,120,9,TweetyNet,2.6045190840246035,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9775977145606112,1.2439024390243902,0.6638074145002764,2.41033119617814,120,9,TweetyNet,2.2402285439388936,Bird0,3,hidden_size,16,Bengalese Finch
none,0.9737374117412982,12.268292682926829,0.5479973419873828,23.99062703324896,120,9,TweetyNet,2.626258825870176,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.9788277517438264,2.097560975609756,0.6646075378063919,4.30692067561753,120,10,TweetyNet,2.11722482561737,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.9758338991048696,11.75609756097561,0.567791214934672,21.089154850838927,120,10,TweetyNet,2.416610089513027,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.979022988725064,1.2682926829268293,0.6744367803769803,2.3978668267253,120,10,TweetyNet,2.0977011274935897,Bird0,3,hidden_size,16,Bengalese Finch
none,0.9756408313727828,12.78048780487805,0.5602185118075784,23.5377105448596,120,10,TweetyNet,2.435916862721732,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.9829307480234898,1.902439024390244,0.7280785377839355,3.73333148026792,600,1,TweetyNet,1.7069251976510214,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9813530661731656,9.414634146341465,0.6526050972013739,15.44574634877923,600,1,TweetyNet,1.8646933826834464,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9834597978012248,0.8536585365853658,0.7521732254532645,1.44579732614066,600,1,TweetyNet,1.6540202198775278,Bird0,6,hidden_size,16,Bengalese Finch
none,0.980832950550706,10.634146341463415,0.6356952460055718,18.13343080693054,600,1,TweetyNet,1.916704944929415,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.9809689898090456,2.682926829268293,0.6794653742772131,5.71875940353296,600,2,TweetyNet,1.9031010190954436,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9801979931449816,7.536585365853658,0.6445398512444693,13.38172517383833,600,2,TweetyNet,1.980200685501854,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.98156466821038,1.1219512195121952,0.7139267628181385,2.06495818624709,600,2,TweetyNet,1.843533178961998,Bird0,6,hidden_size,16,Bengalese Finch
none,0.9795870062585356,9.268292682926829,0.6163603164829178,17.49482613462331,600,2,TweetyNet,2.041299374146444,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.9837138989821752,2.317073170731707,0.7412858150709078,4.995746958527151,600,3,TweetyNet,1.6286101017824794,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9823646555649262,6.902439024390244,0.6857420985884001,12.95722587455016,600,3,TweetyNet,1.7635344435073752,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9843250687203712,0.7073170731707317,0.7818803722865443,1.38429004900674,600,3,TweetyNet,1.5674931279628712,Bird0,6,hidden_size,16,Bengalese Finch
none,0.9817401687402416,8.731707317073171,0.6534952146570765,16.94737448348697,600,3,TweetyNet,1.8259831259758497,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.9838632134603128,2.073170731707317,0.7566995214256182,4.55621506356794,600,4,TweetyNet,1.6136786539687198,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9820255898114684,7.7560975609756095,0.6850979076869992,12.9744933855345,600,4,TweetyNet,1.797441018853152,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9842938560668196,0.8292682926829268,0.788464767586707,1.2951217696972699,600,4,TweetyNet,1.5706143933180483,Bird0,6,hidden_size,16,Bengalese Finch
none,0.9816064285687952,9.024390243902438,0.6592245142318188,16.27093485897393,600,4,TweetyNet,1.8393571431204792,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.981990194569633,2.365853658536585,0.7260765949597898,5.06581160880644,600,5,TweetyNet,1.800980543036701,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9804816497174104,7.902439024390244,0.6629082285252231,13.692715959088881,600,5,TweetyNet,1.951835028258964,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9824959167516336,0.975609756097561,0.7574543014864042,1.7379005887826398,600,5,TweetyNet,1.7504083248366389,Bird0,6,hidden_size,16,Bengalese Finch
none,0.9799759275354096,9.48780487804878,0.639722137114097,17.46145822918207,600,5,TweetyNet,2.002407246459026,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.9826435503729308,1.975609756097561,0.7444507050504056,4.4119279272742995,600,6,TweetyNet,1.735644962706906,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9806633806798776,7.829268292682927,0.6608464013355806,13.663581449887621,600,6,TweetyNet,1.933661932012232,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.983050069909546,0.7560975609756098,0.7708780475937366,1.43010216702258,600,6,TweetyNet,1.6949930090453869,Bird0,6,hidden_size,16,Bengalese Finch
none,0.9802657952985387,9.097560975609756,0.6422135419537368,16.742968185749092,600,6,TweetyNet,1.973420470146125,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.9806053707806586,2.1951219512195124,0.6926172637068573,4.94737625896107,600,7,TweetyNet,1.939462921934143,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9784167835866732,8.75609756097561,0.6001270971621412,15.92232825035359,600,7,TweetyNet,2.1583216413326944,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9811197588237052,1.048780487804878,0.7119240011694712,2.04743814301592,600,7,TweetyNet,1.8880241176294832,Bird0,6,hidden_size,16,Bengalese Finch
none,0.9779023955436268,9.975609756097562,0.585591675828442,18.92730095701733,600,7,TweetyNet,2.209760445637321,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.9819518853413648,2.3902439024390243,0.7040164330486193,5.36496977348483,600,8,TweetyNet,1.804811465863532,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9809325047252704,8.121951219512194,0.6519822699398105,13.975092814095591,600,8,TweetyNet,1.9067495274729616,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.98250373896499,0.926829268292683,0.727769827113813,1.8110476664311699,600,8,TweetyNet,1.7496261035009897,Bird0,6,hidden_size,16,Bengalese Finch
none,0.980372548417256,9.804878048780488,0.630760806621248,17.945653260654858,600,8,TweetyNet,1.9627451582743929,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.9834810831902616,1.951219512195122,0.7324834785279919,4.5745129841977,600,9,TweetyNet,1.6518916809738382,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9823862203062588,6.878048780487805,0.6863572318288857,12.289818086589099,600,9,TweetyNet,1.7613779693741227,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9839262493980788,0.7560975609756098,0.7591209085661625,1.52046173817822,600,9,TweetyNet,1.6073750601921066,Bird0,6,hidden_size,16,Bengalese Finch
none,0.9819529853345604,8.21951219512195,0.6647565489102346,15.556297599398631,600,9,TweetyNet,1.8047014665439565,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.9828693503452356,2.097560975609756,0.7322594691718426,4.33279757636262,600,10,TweetyNet,1.7130649654764407,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur,0.9807936826250832,8.121951219512194,0.6505498369012489,14.61488228095603,600,10,TweetyNet,1.9206317374916737,Bird0,6,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9832482281918378,0.902439024390244,0.7516117154266201,1.6189984355270401,600,10,TweetyNet,1.675177180816223,Bird0,6,hidden_size,16,Bengalese Finch
none,0.9803971306886962,9.48780487804878,0.6351140220918057,17.58334602531452,600,10,TweetyNet,1.960286931130384,Bird0,6,hidden_size,16,Bengalese Finch
majority_vote,0.9808967211859076,2.414634146341464,0.7018931851240198,5.71917804140732,480,1,TweetyNet,1.910327881409246,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9792571131171356,8.512195121951219,0.6432277391086787,14.654957834085941,480,1,TweetyNet,2.074288688286452,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9813748301034224,0.902439024390244,0.7252485827291536,1.9680806339891201,480,1,TweetyNet,1.8625169896577696,Bird0,5,hidden_size,16,Bengalese Finch
none,0.9787790041996204,10.048780487804878,0.6233631078309817,18.454835729309018,480,1,TweetyNet,2.1220995800379616,Bird0,5,hidden_size,16,Bengalese Finch
majority_vote,0.9812864711246684,2.2439024390243905,0.7082365712008418,5.08810646829023,480,2,TweetyNet,1.871352887533173,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9794744929492628,8.121951219512194,0.6387990062361599,14.619968568857239,480,2,TweetyNet,2.052550705073708,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9816824089614652,0.951219512195122,0.7334686750865221,1.8982683922359098,480,2,TweetyNet,1.8317591038534695,Bird0,5,hidden_size,16,Bengalese Finch
none,0.979078555112466,9.53658536585366,0.621051896509331,18.078784563864,480,2,TweetyNet,2.0921444887534,Bird0,5,hidden_size,16,Bengalese Finch
majority_vote,0.981246428917554,2.2439024390243905,0.7397756144841592,4.84180080982567,480,3,TweetyNet,1.875357108244602,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9782356905932884,10.292682926829269,0.6454192659768401,17.5891216215885,480,3,TweetyNet,2.176430940671159,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9816573540831048,0.8780487804878049,0.7665077343427096,1.45574976784819,480,3,TweetyNet,1.8342645916895275,Bird0,5,hidden_size,16,Bengalese Finch
none,0.9778125233779292,11.853658536585366,0.626938379139577,21.279050475397128,480,3,TweetyNet,2.218747662207088,Bird0,5,hidden_size,16,Bengalese Finch
majority_vote,0.9841969313459022,2.1463414634146343,0.7573000662857043,4.51634186547004,480,4,TweetyNet,1.5803068654097752,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9825060237119624,7.341463414634147,0.6891150893678948,12.6969647503045,480,4,TweetyNet,1.7493976288037727,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9848208711032852,0.6585365853658537,0.7975388685418686,1.1508925099120901,480,4,TweetyNet,1.51791288967148,Bird0,5,hidden_size,16,Bengalese Finch
none,0.981882083954579,9.0,0.6570550473127116,16.31288574589884,480,4,TweetyNet,1.8117916045421008,Bird0,5,hidden_size,16,Bengalese Finch
majority_vote,0.9800920309408228,1.804878048780488,0.7186280459780521,3.6333467362714,480,5,TweetyNet,1.9907969059177244,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur,0.9777527132796868,9.0,0.6228426762280838,15.73665547922904,480,5,TweetyNet,2.2247286720313286,Bird0,5,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9803247303389068,1.024390243902439,0.7289354237884059,1.9358800095088498,480,5,TweetyNet,1.967526966109312,Bird0,5,hidden_size,16,Bengalese Finch
