,cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind,Species,Post-processing
42,min_segment_dur_majority_vote,0.980059299667429,1.0,0.7275969983809234,1.79382580041937,120,1,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_1/StandardizeSpect,0.02,1.9940700332571004,Bird0,3,Bengalese Finches,with
43,none,0.9781600856763236,6.853658536585366,0.6292714784208197,13.13424356942964,120,1,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_1/StandardizeSpect,0.02,2.183991432367649,Bird0,3,Bengalese Finches,without
46,min_segment_dur_majority_vote,0.9812113893118156,0.975609756097561,0.738721817203535,2.12359525563513,120,2,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_2/StandardizeSpect,0.02,1.878861068818427,Bird0,3,Bengalese Finches,with
47,none,0.9781107664368296,9.292682926829269,0.6118169135459406,19.33927481917466,120,2,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_2/StandardizeSpect,0.02,2.1889233563170296,Bird0,3,Bengalese Finches,without
50,min_segment_dur_majority_vote,0.9813107339108228,0.926829268292683,0.7563546550314341,1.82241838386177,120,3,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_3/StandardizeSpect,0.02,1.8689266089177317,Bird0,3,Bengalese Finches,with
51,none,0.9790012529551918,8.146341463414634,0.6513163444533484,16.61866063002765,120,3,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_3/StandardizeSpect,0.02,2.09987470448082,Bird0,3,Bengalese Finches,without
54,min_segment_dur_majority_vote,0.9800738045780926,1.146341463414634,0.7071841205238186,2.4843183840088203,120,4,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_4/StandardizeSpect,0.02,1.9926195421907436,Bird0,3,Bengalese Finches,with
55,none,0.9770646750972142,8.341463414634147,0.5969368438473293,15.312031776471349,120,4,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_4/StandardizeSpect,0.02,2.2935324902785825,Bird0,3,Bengalese Finches,without
58,min_segment_dur_majority_vote,0.9814180073704922,0.975609756097561,0.7452967388753561,1.98710435898619,120,5,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_5/StandardizeSpect,0.02,1.858199262950777,Bird0,3,Bengalese Finches,with
59,none,0.9793149818055916,7.097560975609756,0.6518691682015084,13.63516073042803,120,5,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_5/StandardizeSpect,0.02,2.068501819440849,Bird0,3,Bengalese Finches,without
62,min_segment_dur_majority_vote,0.980946596450638,0.926829268292683,0.7375808466918023,1.81142145175699,120,6,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_6/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_6/StandardizeSpect,0.02,1.9053403549362025,Bird0,3,Bengalese Finches,with
63,none,0.979009214822112,6.073170731707317,0.6526786458687678,11.270076912685301,120,6,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_6/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_6/StandardizeSpect,0.02,2.0990785177888105,Bird0,3,Bengalese Finches,without
66,min_segment_dur_majority_vote,0.9813018010888032,0.975609756097561,0.7644430497185853,1.59489222920459,120,7,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_7/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_7/StandardizeSpect,0.02,1.869819891119684,Bird0,3,Bengalese Finches,with
67,none,0.9786087899974972,8.0,0.6577233194092221,16.03876307976703,120,7,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_7/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_7/StandardizeSpect,0.02,2.139121000250277,Bird0,3,Bengalese Finches,without
70,min_segment_dur_majority_vote,0.9799235800900284,1.048780487804878,0.7218731696916643,2.23538539209376,120,8,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_8/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_8/StandardizeSpect,0.02,2.0076419909971666,Bird0,3,Bengalese Finches,with
71,none,0.9771282599894454,8.707317073170731,0.6092851647504072,17.58784826528334,120,8,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_8/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_8/StandardizeSpect,0.02,2.287174001055458,Bird0,3,Bengalese Finches,without
74,min_segment_dur_majority_vote,0.9787023615975934,1.2439024390243902,0.6972667583984747,2.5193243110640298,120,9,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_9/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_9/StandardizeSpect,0.02,2.1297638402406616,Bird0,3,Bengalese Finches,with
75,none,0.9767864210548116,7.024390243902439,0.6149468885487631,13.923839134310962,120,9,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_9/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_120s/replicate_9/StandardizeSpect,0.02,2.3213578945188496,Bird0,3,Bengalese Finches,without
